,,,,mdd,start,end,AR,SD,SR
1 Fixed,44,47,1 Equal Weight,-0.38991110205633506,2039.0,2066.0,0.13509516447962278,0.1629989675357316,0.8288099398544232
1 Fixed,44,47,2 MVO,-0.3395946378855267,2045.0,2066.0,0.11333082440202091,0.13596150651332864,0.8335508138173713
1 Fixed,44,47,3 DRMVO_0.5,-0.33960833722301187,2045.0,2066.0,0.10752252704719589,0.13641270103336323,0.7882149259759801
1 Fixed,44,47,3 DRMVO_1,-0.33960725531174274,2045.0,2066.0,0.10574917224075053,0.13655504633148782,0.7744069156114822
1 Fixed,44,47,3 DRMVO_2,-0.3204576393918872,2045.0,2066.0,0.09992782859414638,0.136337504010768,0.732944535835525
1 Fixed,79,26,1 Equal Weight,-0.39475581078229016,2039.0,2066.0,0.13329924783866579,0.1636321501887881,0.8146274902876594
1 Fixed,79,26,2 MVO,-0.20838016275110438,2045.0,2066.0,0.12758320911616122,0.11960054664712946,1.0667443644098373
1 Fixed,79,26,3 DRMVO_0.5,-0.19414077384307415,2045.0,2066.0,0.12776016927341619,0.118839244323784,1.0750671632118987
1 Fixed,79,26,3 DRMVO_1,-0.17902712227633977,2045.0,2061.0,0.12559884430781565,0.11860386248117667,1.0589776899361025
1 Fixed,79,26,3 DRMVO_2,-0.17656657324389635,1525.0,1754.0,0.12351811814669333,0.12183823546967913,1.0137878119339003
1 Fixed,172,12,1 Equal Weight,-0.3718451133352749,2043.0,2066.0,0.14049476767573693,0.1639623947374092,0.8568718937091863
1 Fixed,172,12,2 MVO,-0.3113820840367292,2045.0,2066.0,0.09382288280237018,0.13140088346440873,0.7140201825795415
1 Fixed,172,12,3 DRMVO_0.5,-0.310940348596341,2045.0,2066.0,0.09076784556115847,0.13192000971095094,0.6880521443262421
1 Fixed,172,12,3 DRMVO_1,-0.3178654839971944,2045.0,2066.0,0.09490837094610917,0.13406476893271768,0.7079292471964822
1 Fixed,172,12,3 DRMVO_2,-0.3124801664062945,2044.0,2066.0,0.10206586497315041,0.14164542312382272,0.7205729823259246
1 Fixed,296,7,1 Equal Weight,-0.38373333094495843,2043.0,2066.0,0.13675027542880613,0.16263493545840982,0.8408419448340292
1 Fixed,296,7,2 MVO,-0.31573310820605316,2042.0,2066.0,0.13796615439257068,0.14219499265679517,0.970260287052222
1 Fixed,296,7,3 DRMVO_0.5,-0.3180210642764475,2042.0,2066.0,0.14770094901159073,0.1442940688415663,1.0236106736567612
1 Fixed,296,7,3 DRMVO_1,-0.3216373679668736,2042.0,2066.0,0.15635506876703287,0.14720555617306783,1.0621546688306254
1 Fixed,296,7,3 DRMVO_2,-0.36261813868699266,2042.0,2063.0,0.16171708832637421,0.15924797630539356,1.0155048251052534
2 Variable1000.0_60_0.075,79,26,1 Equal Weight,-0.39117045064821,2039.0,2066.0,0.13549206455110469,0.16328464253950184,0.8297906186635184
2 Variable1000.0_60_0.075,79,26,2 MVO,-0.291621258518755,2045.0,2066.0,0.11746917897199381,0.1329843911036226,0.8833305773491928
2 Variable1000.0_60_0.075,79,26,3 DRMVO_0.5,-0.29162147702640095,2045.0,2066.0,0.11340360836306444,0.13316764314961127,0.851585307668603
2 Variable1000.0_60_0.075,79,26,3 DRMVO_1,-0.2904522097308211,2045.0,2066.0,0.10891266486934398,0.13348427428378584,0.8159213169769876
2 Variable1000.0_60_0.075,79,26,3 DRMVO_2,-0.2671437677990408,2045.0,2066.0,0.10656046543190177,0.13453320629499219,0.7920755653310282
2 Variable1000.0_90_0.075,172,12,1 Equal Weight,-0.3898721348844959,2039.0,2066.0,0.13527886453894325,0.1634448839641221,0.8276726763049885
2 Variable1000.0_90_0.075,172,12,2 MVO,-0.2732904171624443,2045.0,2066.0,0.12180751848749516,0.1281819122583105,0.9502707233921605
2 Variable1000.0_90_0.075,172,12,3 DRMVO_0.5,-0.2580208437999232,2045.0,2066.0,0.12258291307544038,0.12810858538090106,0.9568672756081774
2 Variable1000.0_90_0.075,172,12,3 DRMVO_1,-0.24885096129539774,2045.0,2066.0,0.12303719390096256,0.12938220134621997,0.9509591939290126
2 Variable1000.0_90_0.075,172,12,3 DRMVO_2,-0.25686014661214474,2045.0,2066.0,0.1313981483324094,0.13560643738400047,0.9689668932185399
2 Variable10000.0_30_0.1,44,47,1 Equal Weight,-0.39151836127548656,2039.0,2066.0,0.13492521807789812,0.1629518374320694,0.8280067301121726
2 Variable10000.0_30_0.1,44,47,2 MVO,-0.21021284907771398,2045.0,2063.0,0.16014312839734143,0.12919344639025923,1.2395607739543646
2 Variable10000.0_30_0.1,44,47,3 DRMVO_0.5,-0.21645425454366307,2045.0,2063.0,0.16017225465636242,0.12928920910027097,1.2388679285070103
2 Variable10000.0_30_0.1,44,47,3 DRMVO_1,-0.22785173067186637,2045.0,2063.0,0.15702932309884082,0.1305591811234605,1.2027443933670923
2 Variable10000.0_30_0.1,44,47,3 DRMVO_2,-0.28801338754762285,2045.0,2066.0,0.15072598379388155,0.13707943688681767,1.0995521080111483
2 Variable10000.0_60_1.0,296,7,1 Equal Weight,-0.3839044365503391,2043.0,2066.0,0.13627181657981932,0.1615551053050256,0.8435005277148628
2 Variable10000.0_60_1.0,296,7,2 MVO,-0.3366793076514739,2042.0,2066.0,0.148893538768529,0.15219727039865233,0.9782930953921196
2 Variable10000.0_60_1.0,296,7,3 DRMVO_0.5,-0.3366795373945638,2042.0,2066.0,0.15028272445558485,0.1523350452217755,0.9865275861952659
2 Variable10000.0_60_1.0,296,7,3 DRMVO_1,-0.33667933066239353,2042.0,2066.0,0.14785856752633486,0.1520939798167984,0.9721526631391643
2 Variable10000.0_60_1.0,296,7,3 DRMVO_2,-0.3295934705095601,2042.0,2066.0,0.14514224865709952,0.15180068694743004,0.956136968651292
